City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
481,mumbwa,-14.9783,27.0619,17.65,96,100,3.87,ZM,1674692353
482,roswell,34.0232,-84.3616,10.94,75,100,5.14,US,1674692505
483,buraydah,26.326,43.975,12.25,81,93,5.43,SA,1674692566
484,rawson,-43.3002,-65.1023,22.26,34,98,1.24,AR,1674692474
485,zaraza,9.3503,-65.3245,24.05,74,68,4.14,VE,1674692568
486,valtierrilla,20.5333,-101.1333,22.58,12,0,2.44,MX,1674692569
487,pochutla,15.7432,-96.4661,27.9,60,2,1.84,MX,1674692569
488,acarau,-2.8856,-40.12,25.09,83,88,3.57,BR,1674692570
489,gunjur,13.2019,-16.7339,22.04,83,0,4.12,GM,1674692570
490,boende,-0.2167,20.8667,22.22,79,78,1.39,CD,1674692571
491,pangody,65.85,74.4859,-19.01,99,64,3.92,RU,1674692572
492,mrakovo,52.7161,56.6244,-22.72,100,90,1.51,RU,1674692572
493,karratha,-20.7377,116.8463,31.29,55,59,4.89,AU,1674692573
494,vetluga,57.8557,45.781,-4.11,91,100,5.73,RU,1674692574
495,bohodukhiv,50.1647,35.5276,-3.13,52,0,2.31,UA,1674692575
496,gouvy,50.186,5.9392,-3.05,98,81,1.17,BE,1674692575
497,torma,58.8128,26.7383,1.47,97,100,5.01,EE,1674692576
498,hervey bay,-25.2986,152.8535,26.64,67,70,1.52,AU,1674692577
499,beringovskiy,63.05,179.3167,-24.98,87,4,4.52,RU,1674692577
500,kondoa,-4.9,35.7833,16.64,72,71,0.71,TZ,1674692578
501,sept-iles,50.2001,-66.3821,-15.0,62,20,3.09,CA,1674692521
502,anaconda,46.1285,-112.9423,-2.14,93,98,1.08,US,1674692579
503,ponta delgada,37.7333,-25.6667,15.4,72,75,7.72,PT,1674692580
504,khandyga,62.6667,135.6,-50.72,100,69,0.28,RU,1674692581
505,lata,40.1629,-8.3327,1.71,81,0,1.49,PT,1674692582
506,flic en flac,-20.2742,57.3631,24.31,92,100,4.8,MU,1674692583
507,kaputa,-8.4689,29.6619,19.31,88,100,0.75,ZM,1674692584
508,minsk,53.9,27.5667,-2.14,88,100,3.14,BY,1674692587
509,kununurra,-15.7667,128.7333,25.99,94,75,2.57,AU,1674692588
510,kayes,14.0,-11.0,27.89,13,89,2.98,ML,1674692589
511,kibala,9.1104,18.3463,19.97,73,0,0.0,TD,1674692590
512,abaza,52.655,90.0928,-13.82,85,100,2.97,RU,1674692590
513,itagi,-14.1628,-40.0061,22.62,95,89,1.24,BR,1674692591
514,algiers,36.7525,3.042,6.9,93,75,5.14,DZ,1674692592
515,hokitika,-42.7167,170.9667,19.23,74,94,3.76,NZ,1674692593
516,bapatla,15.9,80.4667,19.82,84,4,2.55,IN,1674692594
517,thoen,17.6129,99.2161,16.14,81,1,0.2,TH,1674692595
518,puri,19.8,85.85,17.29,74,5,1.85,IN,1674692595
519,vostok,46.4856,135.8833,-28.1,93,97,1.17,RU,1674692596
520,necochea,-38.5473,-58.7368,18.8,47,46,7.1,AR,1674692597
521,husavik,66.0449,-17.3389,-0.99,73,100,7.01,IS,1674692598
522,kodino,63.7198,39.6447,1.84,99,100,6.6,RU,1674692599
523,belle fourche,44.6714,-103.8522,0.73,66,100,8.93,US,1674692600
